Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
l_index3,0.00760000000000005,-2.77555756156289E-16,0.00250000000000006,0,0,0,0.000429802555526649,3.30678969741857E-09,-1.57996097994714E-24,1.54020091299322E-23,1.96692153253638E-08,-1.96739401167251E-25,1.71736705231727E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index3.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index3.STL,,左手URDF-SW-1/弯曲关节连杆-12,l_index3,l_Jindex3,l_Jindex3,revolute,0.013260064931369,0,0,1.5707963267949,0,0,l_index2,0,0,1,0,0,-0.2,1,,,,,,,,
l_index4,0.0169989009346339,0.000775914195903837,-0.00032389368838831,0,0,0,0.00614303051893769,1.31649105777222E-07,3.41570314280931E-10,9.71587597086613E-10,1.20972202116464E-06,-4.11546167417793E-10,1.29037776380839E-06,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index4.STL,,左手URDF-SW-1/手指近节指骨-1,l_index4,l_Jindex4,l_Jindex4,revolute,0.0152000000000001,0,0,0,0,0,l_index3,0,0,1,0,0,-0.2,1,,,,,,,,
l_index5,0.00760000000000027,-2.22044604925031E-16,0.00160000000000005,0,0,0,0.000429802555526648,3.30678969741857E-09,-4.29598705274219E-24,-8.29064205009591E-24,1.96692153253639E-08,8.22385873294371E-25,1.71736705231727E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index5.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index5.STL,,左手URDF-SW-1/弯曲关节连杆-8,l_index5,l_Jindex5,l_Jindex5,revolute,0.034,0,0,0,0,0,l_index4,0,0,1,0,0,-0.2,1,,,,,,,,
l_index6,0.00599328393915366,0.000343236205303188,-0.000966366604878033,0,0,0,0.00380898023532253,8.11078604818166E-08,-4.98426780555112E-10,-5.68146177877419E-10,1.95808517390969E-07,1.32607604707548E-10,2.45248849839295E-07,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index6.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index6.STL,,左手URDF-SW-1/手指中节指骨-1,l_index6,l_Jindex6,l_Jindex6,revolute,0.0152000000000001,0,0,0,0,0,l_index5,0,0,1,0,0,-0.2,1,,,,,,,,
l_index7,0.00759999999999983,-1.11022302462516E-16,0.00159999999999999,0,0,0,0.000429802555526649,3.30678969741857E-09,-4.42080220509988E-24,-6.54510499116227E-24,1.96692153253639E-08,3.08147810155066E-25,1.71736705231727E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index7.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index7.STL,,左手URDF-SW-1/弯曲关节连杆-4,l_index7,l_Jindex7,l_Jindex7,revolute,0.0119999999999998,0,0,0,0,0,l_index6,0,0,1,0,0,-0.2,1,,,,,,,,
l_index8,0.0118630375667594,2.52726262804925E-05,-0.000408493109359309,0,0,0,0.00624079716514989,1.33114051054288E-07,2.55174245090354E-08,7.74404335228197E-09,4.05018372214316E-07,-1.16857210882931E-09,3.89133893070857E-07,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index8.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_index8.STL,,左手URDF-SW-1/指尖-2,l_index8,l_Jindex8,l_Jindex8,revolute,0.0152000000000001,0,0,0,0,0,l_index7,0,0,1,0,0,-0.2,1,,,,,,,,
l_mid1,0.00520000000000032,4.44089209850063E-16,0.00014999999999854,0,0,0,0.000238764925590337,3.10501993540721E-09,-6.49112803984787E-24,-1.54896354750817E-25,6.24022701729396E-09,2.78083445021746E-25,3.36052675076492E-09,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid1.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid1.STL,,左手URDF-SW-1/侧展关节连杆-3,l_mid1,l_Jmid1,l_Jmid1,revolute,0.0948999999999998,0.0124999999999993,-0.000399999999998957,0,0,0,l_handbase,0,0,1,0,0,-0.5,0.5,,,,,,,,
l_mid2,0.00814688633727711,0.000995142250989567,-1.04385945863261E-05,0,0,0,0.0035680204777529,8.79696016770212E-08,2.32355231318725E-09,2.35421600027046E-09,1.00351725934241E-07,5.43265671669032E-10,8.68895962587117E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid2.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid2.STL,,左手URDF-SW-1/侧展关节指骨-3,l_mid2,l_Jmid2,l_Jmid2,revolute,0.0104,0,0,0,0,0,l_mid1,0,0,1,0,0,-0.5,0.5,,,,,,,,
l_mid3,0.00760000000000005,0,0.00250000000000006,0,0,0,0.00042980255552665,3.30678969741858E-09,-8.41597092530738E-25,-1.19673722970877E-23,1.96692153253639E-08,-8.04689581963764E-25,1.71736705231727E-08,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid3.STL,1,1,1,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid3.STL,,左手URDF-SW-1/弯曲关节连杆-15,l_mid3,l_Jmid3,l_Jmid3,revolute,0.0132600649313703,0,0,1.5707963267949,0,0,l_mid2,0,0,1,0,0,-0.2,1,,,,,,,,
l_mid4,0.0169989009346343,0.000775914195903671,-0.000323893688388421,0,0,0,0.00614303051893769,1.31649105777223E-07,3.41570314284564E-10,9.71587597090448E-10,1.20972202116463E-06,-4.11546167417245E-10,1.29037776380838E-06,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://LeftArmHandURDFV3/meshes/l_mid4.STL,,左手URDF-SW-1/手指近节指骨-2,l_mid4,l_Jmid4,l_Jmid4,revolute,0.0152000000000001,0,0,0,0,0,l_mid3,0,0,1,0,0,-0.2,1,,,,,,,,
